"","Month","Year","Type","Country","Activity","Gender","Injury","Time"
"1","September",2016,"Unprovoked","USA","Surfing","M","Injured","1100"
"2","September",2016,"Unprovoked","USA","Surfing","M","Injured","1100"
"3","September",2016,"Unprovoked","USA","Surfing","M","Injured","1100"
"4","September",2016,"Unprovoked","AUSTRALIA","Surfing","M","Injured","1100"
"5","September",2016,"Unprovoked","AUSTRALIA","Surfing","M","No Injury","1100"
"6","September",2016,"Boating","AUSTRALIA","Fishing","M","No Injury","1400"
"7","September",2016,"Unprovoked","USA","Wading","M","Injured","1400"
"8","September",2016,"Unprovoked","USA","Swimming","F","Injured","1100"
"9","September",2016,"Unprovoked","NEW CALEDONIA","Surfing","M","Fatal","1100"
"10","September",2016,"Unprovoked","USA","Surfing","F","Injured","1305"
"11","September",2016,"Unprovoked","AUSTRALIA","Surfing","M","No Injury","1330"
"12","September",2016,"Unprovoked","USA","Surfing","M","Injured","1330"
"13","September",2016,"Unprovoked","USA","Fishing","M","Injured","1330"
"14","August",2016,"Unprovoked","USA","Surfing","M","Injured","1330"
"15","August",2016,"Unprovoked","USA","Surfing","M","Injured","1330"
"16","August",2016,"Unprovoked","REUNION","Surfing","M","Injured","1400"
"17","August",2016,"Unprovoked","USA","Wading","M","Injured","1400"
"18","August",2016,"Unprovoked","BAHAMAS","Diving","M","Injured","1400"
"19","August",2016,"Unprovoked","USA","Surfing","M","No Injury","1400"
"20","August",2016,"Unprovoked","USA","Surfing","M","Injured","1400"
"21","July",2016,"Unprovoked","SPAIN","Swimming","M","Injured","1400"
"22","July",2016,"Unprovoked","CHINA","Swimming","M","Injured","1400"
"23","July",2016,"Boating","AUSTRALIA","Kayaking","M","No Injury","1200"
"24","July",2016,"Provoked","USA","Others","M","Injured","1200"
"25","July",2016,"Unprovoked","AUSTRALIA","Surfing","M","No Injury","1400"
"26","July",2016,"Unprovoked","JAPAN","Surfing","M","Injured","1400"
"27","July",2016,"Unprovoked","AUSTRALIA","Surfing","M","No Injury","2200"
"28","July",2016,"Unprovoked","BAHAMAS","Fishing","M","Injured","1130"
"29","July",2016,"Provoked","AUSTRALIA","Fishing","M","Injured","1130"
"30","July",2016,"Boating","USA","Fishing","M","No Injury","1600"
"31","July",2016,"Unprovoked","USA","Surfing","F","Injured","1600"
"33","July",2016,"Unprovoked","USA","Swimming","M","Injured","1200"
"34","July",2016,"Unprovoked","BAHAMAS","Diving","M","Injured","1900"
"35","July",2016,"Unprovoked","SPAIN","Wading","F","Injured","1100"
"36","July",2016,"Boating","USA","Fishing","M","No Injury","2000"
"37","July",2016,"Provoked","USA","Fishing","M","Injured","1230"
"38","July",2016,"Boating","USA","Fishing","M","No Injury","1320"
"39","July",2016,"Unprovoked","USA","Swimming","F","Injured","1400"
"40","July",2016,"Provoked","AUSTRALIA","Fishing","M","Injured","1400"
"42","June",2016,"Unprovoked","USA","Surfing","M","Injured","1400"
"43","June",2016,"Unprovoked","COLUMBIA","Diving","M","Injured","1130"
"44","June",2016,"Unprovoked","SOUTH AFRICA","Fishing","M","Injured","0700"
"45","June",2016,"Unprovoked","USA","Swimming","M","Injured","1030"
"46","June",2016,"Unprovoked","USA","Wading","M","Injured","1815"
"47","June",2016,"Unprovoked","USA","Surfing","M","Injured","1650"
"48","June",2016,"Provoked","AUSTRALIA","Fishing","M","No Injury","1650"
"49","June",2016,"Unprovoked","USA","Swimming","F","Injured","1400"
"50","June",2016,"Unprovoked","USA","Standing","M","Injured","0615"
"51","June",2016,"Unprovoked","USA","Surfing","M","No Injury","1130"
"52","June",2016,"Unprovoked","USA","Swimming","M","Injured","1710"
"53","June",2016,"Unprovoked","AUSTRALIA","Diving","F","Fatal","0600"
"54","June",2016,"Unprovoked","EGYPT","Swimming","M","Injured","1000"
"55","June",2016,"Unprovoked","AUSTRALIA","Fishing","M","No Injury","0900"
"56","June",2016,"Unprovoked","NEW CALEDONIA","Surfing","M","Injured","0900"
"57","May",2016,"Unprovoked","AUSTRALIA","Surfing","M","Fatal","0900"
"58","May",2016,"Unprovoked","USA","Swimming","F","Injured","0930"
"59","May",2016,"Unprovoked","USA","Swimming","M","Injured","0930"
"60","May",2016,"Unprovoked","USA","Swimming","F","Injured","0930"
"61","May",2016,"Unprovoked","USA","Swimming","F","Injured","1500"
"62","May",2016,"Unprovoked","USA","Swimming","F","Injured","0945"
"63","May",2016,"Unprovoked","USA","Swimming","M","Injured","1100"
"64","May",2016,"Provoked","USA","Attempting to approach sharks","F","Injured","0730"
"65","May",2016,"Unprovoked","USA","Swimming","M","Injured","1100"
"66","May",2016,"Provoked","NEW ZEALAND","Fishing","M","Injured","1000"
"67","April",2016,"Unprovoked","INDONESIA","Surfing","M","Injured","0645"
"68","April",2016,"Unprovoked","USA","Surfing","M","Injured","0500"
"69","April",2016,"Unprovoked","SOUTH AFRICA","Surfing","M","No Injury","0500"
"70","April",2016,"Unprovoked","AUSTRALIA","Swimming","M","Injured","1345"
"71","April",2016,"Provoked","FRENCH POLYNESIA","Fishing","M","Injured","1345"
"72","April",2016,"Unprovoked","USA","Fishing","M","Injured","1345"
"73","April",2016,"Unprovoked","NEW CALEDONIA","Wading","F","Fatal","1100"
"75","April",2016,"Unprovoked","USA","Fishing","M","Injured","1100"
"76","April",2016,"Unprovoked","USA","Others","M","No Injury","1100"
"77","March",2016,"Unprovoked","USA","Diving","F","Injured","1100"
